From	To
A0A0U1RRL7	MMP24OS
A0AVF1	TTC26
A0AVT1	UBA6
A0FGR8	ESYT2
A0MZ66	SHTN1
A1KXE4	FAM168B
A1L0T0	ILVBL
A1X283	SH3PXD2B
A2RTX5	TARS3
A3KMH1	VWA8
A3KN83	SBNO1
Q9Y2G9	SBNO2
A5YKK6	CNOT1
A6NDG6	PGP
A6NHQ2	FBLL1
A6NHR9	SMCHD1
A6NJ78	METTL15
P0C7V9	METTL15P1
A6NKT7	RGPD3
Q7Z3J3	RGPD4
A8CG34	POM121C
Q96HA1	POM121
Q6PJE2	POMZP3
A8K0Z3	WASHC1
Q9NQA3	WASH6P
C4AMC7	WASH3P
P01023	A2M
P02768	ALB
Q3SY84	KRT71
Q7RTS7	KRT74
E9PAV3	NACA
Q13765	NACA
E9PRG8	C11orf98
L0R819	ASDURF
O00139	KIF2A
O00148	DDX39A
O00151	PDLIM1
O00154	ACOT7
O00159	MYO1C
O00161	SNAP23
O00165	HAX1
O00170	AIP
O00178	GTPBP1
O00186	STXBP3
O00189	AP4M1
O00192	ARVCF
O00193	SMAP
O00203	AP3B1
O00213	APBB1
O00231	PSMD11
O00233	PSMD9
O00264	PGRMC1
O00267	SUPT5H
O00268	TAF4
Q92750	TAF4B
O00273	DFFA
O00303	EIF3F
O00311	CDC7
O00410	IPO5
O00411	POLRMT
O00425	IGF2BP3
O00429	DNM1L
O00442	RTCA
O00443	PIK3C2A
O00459	PIK3R2
P27986	PIK3R1
Q92569	PIK3R3
O00483	NDUFA4
O00487	PSMD14
O00505	KPNA3
O00507	USP9Y
O00541	PES1
O00566	MPHOSPH10
O00567	NOP56
O00571	DDX3X
O15523	DDX3Y
Q9NQI0	DDX4
O00743	PPP6C
O00746	NME4
O00763	ACACB
O00767	SCD
O14497	ARID1A
O14545	TRAFD1
O14561	NDUFAB1
O14562	UBFD1
O14579	COPE
O14617	AP3D1
O14618	CCS
O14639	ABLIM1
O14641	DVL2
Q92997	DVL3
O14640	DVL1
O14646	CHD1
O14654	IRS4
O14683	TP53I11
O14733	MAP2K7
O14734	ACOT8
O14735	CDIPT
O14744	PRMT5
O14757	CHEK1
O14776	TCERG1
O14802	POLR3A
O14818	PSMA7
Q8TAA3	PSMA8
O14828	SCAMP3
O14910	LIN7A
O14925	TIMM23
Q5SRD1	TIMM23B
O14929	HAT1
O14933	UBE2L6
O14936	CASK
O14965	AURKA
Q9UQB9	AURKC
O14966	RAB29
P57729	RAB38
O14974	PPP1R12A
O14979	HNRNPDL
O14980	XPO1
O14981	BTAF1
O15014	ZNF609
O15020	SPTBN2
O15027	SEC16A
O15037	KHNYN
O15042	U2SURP
O15067	PFAS
O15091	PRORP
O15145	ARPC3
O15155	BET1
O15160	POLR1C
O15212	PFDN6
O15213	WDR46
O15226	NKRF
O15228	GNPAT
O15235	MRPS12
O15260	SURF4
O15269	SPTLC1
O15270	SPTLC2
O15294	OGT
O15344	MID1
O15355	PPM1G
O15357	INPPL1
O15371	EIF3D
O15381	NVL
O15541	RNF113A
O43143	DHX15
O43148	RNMT
O43156	TTI1
O43159	RRP8
O43175	PHGDH
O43242	PSMD3
O43251	RBFOX2
Q9NWB1	RBFOX1
O43252	PAPSS1
O43264	ZW10
O43290	SART1
O43318	MAP3K7
O43324	EEF1E1
O43347	MSI1
O43379	WDR62
O43390	HNRNPR
O43402	EMC8
O43432	EIF4G3
O43491	EPB41L2
O43502	RAD51C
O43542	XRCC3
O43583	DENR
O43592	XPOT
O43615	TIMM44
O43660	PLRG1
O43663	PRC1
O43670	ZNF207
O43678	NDUFA2
O43683	BUB1
O43684	BUB3
O43707	ACTN4
O43795	MYO1B
O43818	RRP9
O43823	AKAP8
O43824	GTPBP6
O43837	IDH3B
O43847	NRDC
O43852	CALU
O43865	AHCYL1
O43929	ORC4
O43933	PEX1
O60216	RAD21
Q9H4I0	RAD21L1
O60231	DHX16
O60256	PRPSAP2
O60264	SMARCA5
O60271	SPAG9
O60306	AQR
O60313	OPA1
O60318	MCM3AP
O60341	KDM1A
O60427	FADS1
O60506	SYNCRIP
O60508	CDC40
O60547	GMDS
O60563	CCNT1
O60566	BUB1B
O60573	EIF4E2
O60610	DIAPH1
O60664	PLIN3
O60716	CTNND1
O60749	SNX2
O60762	DPM1
O60763	USO1
O60783	MRPS14
O60826	CCDC22
O60831	PRAF2
O60832	DKC1
O60841	EIF5B
O60884	DNAJA2
O60925	PFDN1
O60934	NBN
O60941	DTNB
Q9Y4J8	DTNA
O60942	RNGTT
O75027	ABCB7
O75122	CLASP2
Q7Z460	CLASP1
O75146	HIP1R
O75152	ZC3H11A
O75153	CLUH
O75165	DNAJC13
O75179	ANKRD17
O75190	DNAJB6
P25686	DNAJB2
Q8WWF6	DNAJB3
O75223	GGCT
O75251	NDUFS7
O75306	NDUFS2
O75330	HMMR
O75340	PDCD6
O75367	MACROH2A1
O75369	FLNB
O75376	NCOR1
O75380	NDUFS6
O75381	PEX14
O75391	SPAG7
O75394	MRPL33
O75396	SEC22B
O75400	PRPF40A
O75419	CDC45
O75439	PMPCB
O75449	KATNA1
O75475	PSIP1
O75477	ERLIN1
O75489	NDUFS3
O75494	SRSF10
Q8WXF0	SRSF12
O75521	ECI2
O75531	BANF1
O75533	SF3B1
O75569	PRKRA
O75592	MYCBP2
O75600	GCAT
O75607	NPM3
O75616	ERAL1
O75643	SNRNP200
O75648	TRMU
O75663	TIPRL
O75691	UTP20
O75694	NUP155
O75746	SLC25A12
O75781	PALM
O75817	POP7
O75821	EIF3G
O75828	CBR3
P16152	CBR1
O75886	STAM2
O75925	PIAS1
O75928	PIAS2
O75934	BCAS2
O75940	SMNDC1
O75947	ATP5PD
O75955	FLOT1
O76021	RSL1D1
O76031	CLPX
O76062	TM7SF2
O76094	SRP72
O94761	RECQL4
O94763	URI1
O94776	MTA2
O94808	GFPT2
O94822	LTN1
O94887	FARP2
O94901	SUN1
O94903	PLPBP
O94905	ERLIN2
O94906	PRPF6
O94966	USP19
O95059	RPP14
O95070	YIF1A
O95071	UBR5
O95140	MFN2
O95163	ELP1
O95168	NDUFB4
O95202	LETM1
O95232	LUC7L3
O95239	KIF4A
Q2VIQ3	KIF4B
O95248	SBF1
O95251	KAT7
O95292	VAPB
O95299	NDUFA10
O95336	PGLS
O95347	SMC2
O95363	FARS2
O95372	LYPLA2
