,prot1,prot2,index
0,sp|P30443|1A01_HUMAN,sp|P13746|1A11_HUMAN,0.47297297297297297
1,sp|P30443|1A01_HUMAN,sp|P04439|1A03_HUMAN,0.5070422535211268
2,sp|P30443|1A01_HUMAN,sp|P30455|1A36_HUMAN,0.8620689655172413
3,sp|A6NM45|CLD24_HUMAN,sp|Q8N7P3|CLD22_HUMAN,0.45
4,sp|P04745|AMY1_HUMAN,sp|P19961|AMY2B_HUMAN,0.6382978723404256
5,sp|P04745|AMY1_HUMAN,sp|P04746|AMYP_HUMAN,0.4807692307692308
6,sp|Q5CZ79|AN20B_HUMAN,sp|Q5VUR7|A20A3_HUMAN,0.4805194805194805
7,sp|Q5CZ79|AN20B_HUMAN,sp|Q5SQ80|A20A2_HUMAN,0.5
8,sp|Q5CZ79|AN20B_HUMAN,sp|Q4UJ75|A20A4_HUMAN,0.4847161572052402
9,sp|Q5CZ79|AN20B_HUMAN,sp|Q5TYW2|A20A1_HUMAN,0.463519313304721
10,sp|A0A1B0GUQ0|F236A_HUMAN,sp|P0DP71|F236C_HUMAN,0.3333333333333333
11,sp|A0A1B0GUQ0|F236A_HUMAN,sp|A0A1B0GV22|F236B_HUMAN,1.0
12,sp|A0A1B0GUQ0|F236A_HUMAN,sp|A0A1B0GTK5|F236D_HUMAN,0.3333333333333333
13,sp|P20039|2B1B_HUMAN,sp|Q30134|2B18_HUMAN,0.4230769230769231
14,sp|P20039|2B1B_HUMAN,sp|Q30167|2B1A_HUMAN,0.25862068965517243
15,sp|P20039|2B1B_HUMAN,sp|Q95IE3|2B1C_HUMAN,0.46153846153846156
16,sp|P20039|2B1B_HUMAN,sp|P04229|2B11_HUMAN,0.3
17,sp|P20039|2B1B_HUMAN,sp|Q5Y7A7|2B1D_HUMAN,0.5306122448979592
18,sp|P20039|2B1B_HUMAN,sp|Q29974|2B1G_HUMAN,0.3
19,sp|P20039|2B1B_HUMAN,sp|Q9GIY3|2B1E_HUMAN,0.3888888888888889
20,sp|P20039|2B1B_HUMAN,sp|P01912|2B13_HUMAN,0.46153846153846156
21,sp|P04222|1C03_HUMAN,sp|P30510|1C14_HUMAN,0.3888888888888889
22,sp|P04222|1C03_HUMAN,sp|Q07000|1C15_HUMAN,0.3815789473684211
23,sp|P04222|1C03_HUMAN,sp|Q29865|1C18_HUMAN,0.27848101265822783
24,sp|P04222|1C03_HUMAN,sp|Q29960|1C16_HUMAN,0.2839506172839506
25,sp|P04222|1C03_HUMAN,sp|P30508|1C12_HUMAN,0.2926829268292683
26,sp|P04222|1C03_HUMAN,sp|P30499|1C01_HUMAN,0.28205128205128205
27,sp|P04222|1C03_HUMAN,sp|Q29963|1C06_HUMAN,0.2716049382716049
28,sp|P04222|1C03_HUMAN,sp|P30504|1C04_HUMAN,0.2625
29,sp|P04222|1C03_HUMAN,sp|P30505|1C08_HUMAN,0.3
30,sp|P0DMU7|CT456_HUMAN,sp|Q5HYN5|CT451_HUMAN,0.7894736842105263
31,sp|P0DMU7|CT456_HUMAN,sp|Q8NHU0|CT453_HUMAN,0.8378378378378378
32,sp|P0DMU7|CT456_HUMAN,sp|P0DMV2|CT459_HUMAN,0.5952380952380952
33,sp|P0DMU7|CT456_HUMAN,sp|P0DMU9|CT45A_HUMAN,0.5609756097560976
34,sp|P0DMU7|CT456_HUMAN,sp|P0DMV1|CT458_HUMAN,0.5952380952380952
35,sp|P0DMU7|CT456_HUMAN,sp|Q5DJT8|CT452_HUMAN,0.5952380952380952
36,sp|P0DMU7|CT456_HUMAN,sp|P0DMV0|CT457_HUMAN,1.0
37,sp|P0DMU7|CT456_HUMAN,sp|P0DMU8|CT455_HUMAN,1.0
38,sp|Q5T9A4|ATD3B_HUMAN,sp|Q9NVI7|ATD3A_HUMAN,0.3854748603351955
39,sp|P30484|1B46_HUMAN,sp|P30475|1B39_HUMAN,0.34146341463414637
40,sp|P30484|1B46_HUMAN,sp|Q29940|1B59_HUMAN,0.4025974025974026
41,sp|P30484|1B46_HUMAN,sp|P30498|1B78_HUMAN,0.3333333333333333
